SetID,CardType,CardName
DAA 128,bPokemon,Galarian Stunfisk V
DAA 129,bPokemon,Meltan  
DAA 130,ePokemon,Melmetal  
DAA 131,bPokemon,Cufant  
DAA 132,ePokemon,Copperajah  
DAA 133,bPokemon,Kangaskhan  
DAA 134,bPokemon,Tauros  
DAA 135,bPokemon,Sentret  
DAA 136,ePokemon,Furret  
DAA 137,bPokemon,Dunsparce  
DAA 138,bPokemon,Teddiursa  
DAA 139,ePokemon,Ursaring  
DAA 140,bPokemon,Lugia  
DAA 141,bPokemon,Skitty  
DAA 142,ePokemon,Delcatty  
DAA 143,bPokemon,Salamence V 
DAA 144,ePokemon,Salamence VMAX 
DAA 145,bPokemon,Starly  
DAA 146,ePokemon,Staravia  
DAA 147,ePokemon,Staraptor  
DAA 148,bPokemon,Ducklett  
DAA 149,ePokemon,Swanna  
DAA 150,bPokemon,Bunnelby  
DAA 151,bPokemon,Fletchling  
DAA 152,bPokemon,Skwovet  
DAA 153,ePokemon,Greedent  
DAA 154,bPokemon,Rookidee  
DAA 155,ePokemon,Corvisquire  
DAA 156,ePokemon,Corviknight  
DAA 157,Item,Big Parasol 
DAA 158,Item,Billowing Smoke 
DAA 159,Supporter,Bird Keeper 
DAA 160,Item,Cape of Toughness
DAA 161,Item,Familiar Bell 
DAA 162,Stadium,Glimwood Tangle 
DAA 163,Supporter,Kabu  
DAA 164,Item,Old PC 
DAA 165,Supporter,Piers  
DAA 166,Supporter,Pokémon Breeder’s Nurturing
DAA 167,Item,Rare Fossil 
DAA 168,Supporter,Rose  
DAA 169,Stadium,Rose Tower 
DAA 170,Stadium,Spikemuth  
DAA 171,Item,Struggle Gloves 
DAA 172,Item,Turbo Patch 
DAA 173,Item,Yell Horn 
DAA 174,sEnergy,Heat Energy 
DAA 175,sEnergy,Hiding Energy 
DAA 176,sEnergy,Powerful Energy 
DAA 177,bPokemon,Butterfree V 
DAA 178,bPokemon,Houndoom V 
DAA 179,bPokemon,Centiskorch V 
DAA 180,bPokemon,Vikavolt V 
DAA 181,bPokemon,Rhyperior V 
DAA 182,bPokemon,Crobat V 
DAA 183,bPokemon,Scizor V 
DAA 184,bPokemon,Galarian Stunfisk V
DAA 185,bPokemon,Salamence V 
DAA 186,bPokemon,Kabu  
DAA 187,bPokemon,Piers  
DAA 188,bPokemon,Pokémon Breeder’s Nurturing
DAA 189,bPokemon,Rose  
VIV 1,bPokemon,Weedle  
VIV 2,ePokemon,Kakuna  
VIV 3,ePokemon,Beedrill  
VIV 4,bPokemon,Exeggcute  
VIV 5,ePokemon,Exeggutor  
VIV 6,bPokemon,Yanma  
VIV 7,ePokemon,Yanmega  
VIV 8,bPokemon,Pineco  
VIV 9,bPokemon,Celebi  
VIV 10,bPokemon,Seedot  
VIV 11,ePokemon,Nuzleaf  
VIV 12,ePokemon,Shiftry  
VIV 13,bPokemon,Nincada  
VIV 14,ePokemon,Ninjask  
VIV 15,bPokemon,Shaymin  
VIV 16,bPokemon,Genesect  
VIV 17,bPokemon,Skiddo  
VIV 18,ePokemon,Gogoat  
VIV 19,bPokemon,Dhelmise  
VIV 20,bPokemon,Orbeetle V 
VIV 21,ePokemon,Orbeetle VMAX 
VIV 22,bPokemon,Zarude V 
VIV 23,bPokemon,Charmander  
VIV 24,ePokemon,Charmeleon  
VIV 25,ePokemon,Charizard  
VIV 26,ePokemon,Flareon  
VIV 27,bPokemon,Slugma  
VIV 28,ePokemon,Magcargo  
VIV 29,bPokemon,Talonflame V 
VIV 30,ePokemon,Vaporeon  
VIV 31,bPokemon,Wailmer  
VIV 32,ePokemon,Wailord  
VIV 33,bPokemon,Oshawott  
VIV 34,ePokemon,Dewott  
VIV 35,ePokemon,Samurott  
VIV 36,bPokemon,Galarian Darmanitan V
VIV 37,ePokemon,Galarian Darmanitan VMAX
VIV 38,bPokemon,Chewtle  
VIV 39,ePokemon,Drednaw  
VIV 40,bPokemon,Cramorant  
VIV 41,bPokemon,Arrokuda  
VIV 42,ePokemon,Barraskewda  
VIV 43,bPokemon,Pikachu V 
VIV 44,ePokemon,Pikachu VMAX 
VIV 45,bPokemon,Voltorb  
VIV 46,ePokemon,Electrode  
VIV 47,ePokemon,Jolteon  
VIV 48,bPokemon,Zapdos  
VIV 49,bPokemon,Ampharos V 
VIV 50,bPokemon,Raikou  
VIV 51,bPokemon,Electrike  
VIV 52,ePokemon,Manectric  
VIV 53,bPokemon,Blitzle  
VIV 54,ePokemon,Zebstrika  
VIV 55,bPokemon,Joltik  
VIV 56,ePokemon,Galvantula  
VIV 57,bPokemon,Tynamo  
VIV 58,ePokemon,Eelektrik  
VIV 59,ePokemon,Eelektross  
VIV 60,bPokemon,Zekrom  
VIV 61,bPokemon,Zeraora  
VIV 62,bPokemon,Pincurchin  
VIV 63,bPokemon,Clefairy  
VIV 64,ePokemon,Clefable  
VIV 65,bPokemon,Girafarig  
VIV 66,bPokemon,Shedinja  
VIV 67,bPokemon,Shuppet  
VIV 68,ePokemon,Banette  
VIV 69,bPokemon,Duskull  
VIV 70,ePokemon,Dusclops  
VIV 71,ePokemon,Dusknoir  
VIV 72,bPokemon,Chimecho  
VIV 73,bPokemon,Woobat  
VIV 74,ePokemon,Swoobat  
VIV 75,bPokemon,Cottonee  
VIV 76,ePokemon,Whimsicott  
VIV 77,bPokemon,Dedenne  
VIV 78,bPokemon,Xerneas  
VIV 79,bPokemon,Diancie  
VIV 80,bPokemon,Milcery  
VIV 81,ePokemon,Alcremie  
VIV 82,bPokemon,Zacian  
VIV 83,bPokemon,Wooper  
VIV 84,ePokemon,Quagsire  
VIV 85,bPokemon,Shuckle  
VIV 86,bPokemon,Phanpy  
VIV 87,ePokemon,Donphan  
VIV 88,bPokemon,Hitmontop  
VIV 89,bPokemon,Regirock  
VIV 90,bPokemon,Riolu  
VIV 91,bPokemon,Drilbur  
VIV 92,bPokemon,Terrakion  
VIV 93,bPokemon,Zygarde  
VIV 94,bPokemon,Rockruff  
VIV 95,ePokemon,Lycanroc  
VIV 96,bPokemon,Mudbray  
VIV 97,ePokemon,Mudsdale  
VIV 98,bPokemon,Coalossal V 
VIV 99,ePokemon,Coalossal VMAX 
VIV 100,bPokemon,Clobbopus  
VIV 101,ePokemon,Grapploct  
VIV 102,bPokemon,Zamazenta  
VIV 103,bPokemon,Poochyena  
VIV 104,ePokemon,Mightyena  
VIV 105,bPokemon,Sableye  
VIV 106,bPokemon,Drapion V 
VIV 107,bPokemon,Sandile  
VIV 108,ePokemon,Krokorok  
VIV 109,ePokemon,Krookodile  
VIV 110,bPokemon,Trubbish  
VIV 111,ePokemon,Garbodor  
VIV 112,bPokemon,Galarian Meowth 
VIV 113,ePokemon,Galarian Perrserker 
VIV 114,ePokemon,Forretress  
VIV 115,bPokemon,Steelix V 
VIV 116,bPokemon,Beldum  
VIV 117,ePokemon,Metang  
VIV 118,ePokemon,Metagross  
VIV 119,bPokemon,Jirachi  
VIV 120,ePokemon,Lucario  
VIV 121,bPokemon,Dialga  
VIV 122,ePokemon,Excadrill  
VIV 123,bPokemon,Ferroseed  
VIV 124,ePokemon,Ferrothorn  
VIV 125,bPokemon,Galarian Stunfisk 
VIV 126,bPokemon,Aegislash V 
VIV 127,ePokemon,Aegislash VMAX 
VIV 128,bPokemon,Magearna  
VIV 129,bPokemon,Duraludon  
VIV 130,bPokemon,Eevee  
VIV 131,bPokemon,Snorlax  
VIV 132,bPokemon,Lugia  
VIV 133,bPokemon,Taillow  
VIV 134,ePokemon,Swellow  
VIV 135,bPokemon,Whismur  
VIV 136,ePokemon,Loudred  
VIV 137,ePokemon,Exploud  
VIV 138,bPokemon,Rayquaza  
VIV 139,bPokemon,Chatot  
VIV 140,bPokemon,Togekiss V 
VIV 141,ePokemon,Togekiss VMAX 
VIV 142,bPokemon,Tornadus  
VIV 143,bPokemon,Pikipek  
VIV 144,ePokemon,Trumbeak  
VIV 145,ePokemon,Toucannon  
VIV 146,Supporter,Allister  
VIV 147,Supporter,Bea  
VIV 148,Supporter,Beauty  
VIV 149,Supporter,Cara Liss 
VIV 150,Stadium,Circhester Bath 
VIV 151,Item,Drone Rotom 
VIV 152,Item,Hero’s Medal 
VIV 153,Supporter,League Staff 
VIV 154,Supporter,Leon  
VIV 155,Item,Memory Capsule 
VIV 156,Item,Moomoo Cheese 
VIV 157,Supporter,Nessa  
VIV 158,Supporter,Opal  
VIV 159,Item,Rocky Helmet 
VIV 160,Item,Telescopic Sight 
VIV 161,Stadium,Wyndon Stadium 
VIV 162,sEnergy,Aromatic Energy 
VIV 163,sEnergy,Coating Energy 
VIV 164,sEnergy,Stone Energy 
VIV 165,sEnergy,Wash Energy 
VIV 166,bPokemon,Orbeetle V 
VIV 167,bPokemon,Zarude V 
VIV 168,bPokemon,Talonflame V 
VIV 169,bPokemon,Galarian Darmanitan V
VIV 170,bPokemon,Pikachu V 
VIV 171,bPokemon,Ampharos V 
VIV 172,bPokemon,Alakazam V 
VIV 173,bPokemon,Coalossal V 
VIV 174,bPokemon,Galarian Sirfetch’d V
VIV 175,bPokemon,Drapion V 
VIV 176,bPokemon,Steelix V 
VIV 177,bPokemon,Aegislash V 
VIV 178,bPokemon,Togekiss V 
VIV 179,Supporter,Allister  
VIV 180,Supporter,Bea  
VIV 181,Supporter,Beauty  
VIV 182,Supporter,Leon  
VIV 183,Supporter,Nessa  
VIV 184,Supporter,Opal  
VIV 185,Supporter,Pokémon Center Lady
BST 1,bPokemon,Bellsprout    
BST 2,ePokemon,Weepinbell    
BST 3,ePokemon,Victreebel    
BST 4,bPokemon,Cacnea    
BST 5,ePokemon,Cacturne    
BST 6,bPokemon,Kricketune V   
BST 7,bPokemon,Cherubi    
BST 8,ePokemon,Cherrim    
BST 9,bPokemon,Carnivine    
BST 10,bPokemon,Durant    
BST 11,bPokemon,Scatterbug    
BST 12,ePokemon,Spewpa    
BST 13,ePokemon,Vivillon    
BST 14,bPokemon,Fomantis    
BST 15,ePokemon,Lurantis    
BST 16,bPokemon,Tapu Bulu   
BST 17,bPokemon,Blipbug    
BST 18,bPokemon,Flapple V   
BST 19,ePokemon,Flapple VMAX   
BST 20,bPokemon,Entei    
BST 21,bPokemon,Victini V   
BST 22,ePokemon,Victini VMAX   
BST 23,bPokemon,Tepig    
BST 24,ePokemon,Pignite    
BST 25,ePokemon,Emboar    
BST 26,bPokemon,Heatmor    
BST 27,bPokemon,Salandit    
BST 28,ePokemon,Salazzle    
BST 29,bPokemon,Sizzlipede    
BST 30,ePokemon,Centiskorch    
BST 31,bPokemon,Horsea    
BST 32,ePokemon,Seadra    
BST 33,ePokemon,Kingdra    
BST 34,bPokemon,Galarian Mr. Mime  
BST 35,ePokemon,Galarian Mr. Rime  
BST 36,bPokemon,Remoraid    
BST 37,ePokemon,Octillery    
BST 38,bPokemon,Corphish    
BST 39,ePokemon,Crawdaunt    
BST 40,bPokemon,Empoleon V   
BST 41,bPokemon,Frillish    
BST 42,ePokemon,Jellicent    
BST 43,bPokemon,Bruxish    
BST 44,bPokemon,Electabuzz    
BST 45,ePokemon,Electivire    
BST 46,bPokemon,Shinx    
BST 47,ePokemon,Luxio    
BST 48,ePokemon,Luxray    
BST 49,bPokemon,Pachirisu    
BST 50,bPokemon,Tapu Koko V  
BST 51,ePokemon,Tapu Koko VMAX  
BST 52,bPokemon,Yamper    
BST 53,ePokemon,Boltund    
BST 54,bPokemon,Galarian Slowpoke   
BST 55,bPokemon,Spoink    
BST 56,ePokemon,Grumpig    
BST 57,bPokemon,Baltoy    
BST 58,ePokemon,Claydol    
BST 59,bPokemon,Chimecho    
BST 60,bPokemon,Espurr    
BST 61,ePokemon,Meowstic    
BST 62,bPokemon,Mimikyu V   
BST 63,bPokemon,Necrozma V   
BST 64,ePokemon,Dottler    
BST 65,ePokemon,Orbeetle    
BST 66,bPokemon,Mankey    
BST 67,ePokemon,Primeape    
BST 68,bPokemon,Onix    
BST 69,bPokemon,Cubone    
BST 70,ePokemon,Marowak    
BST 71,bPokemon,Gligar    
BST 72,ePokemon,Gliscor    
BST 73,bPokemon,Timburr    
BST 74,ePokemon,Gurdurr    
BST 75,ePokemon,Conkeldurr    
BST 76,bPokemon,Mienfoo    
BST 77,ePokemon,Mienshao    
BST 78,bPokemon,Rolycoly    
BST 79,ePokemon,Carkol    
BST 80,ePokemon,Coalossal    
BST 81,bPokemon,Silicobra    
BST 82,ePokemon,Sandaconda    
BST 83,bPokemon,Falinks    
BST 84,bPokemon,Stonjourner    
BST 85,bPokemon,Single Strike Urshifu V 
BST 86,ePokemon,Single Strike Urshifu VMAX 
BST 87,bPokemon,Rapid Strike Urshifu V 
BST 88,ePokemon,Rapid Strike Urshifu VMAX 
BST 89,bPokemon,Zubat    
BST 90,ePokemon,Golbat    
BST 91,ePokemon,Crobat    
BST 92,ePokemon,Galarian Slowbro   
BST 93,bPokemon,Murkrow    
BST 94,ePokemon,Honchkrow    
BST 95,bPokemon,Houndour    
BST 96,ePokemon,Houndoom    
BST 97,bPokemon,Tyranitar V   
BST 98,bPokemon,Morpeko    
BST 99,ePokemon,Steelix    
BST 100,bPokemon,Mawile    
BST 101,bPokemon,Bronzor    
BST 102,ePokemon,Bronzong    
BST 103,bPokemon,Pawniard    
BST 104,ePokemon,Bisharp    
BST 105,bPokemon,Honedge    
BST 106,ePokemon,Doublade    
BST 107,ePokemon,Aegislash    
BST 108,ePokemon,Aegislash    
BST 109,bPokemon,Corviknight V   
BST 110,ePokemon,Corviknight VMAX   
BST 111,bPokemon,Spearow    
BST 112,ePokemon,Fearow    
BST 113,bPokemon,Lickitung    
BST 114,ePokemon,Lickilicky    
BST 115,bPokemon,Glameow    
BST 116,ePokemon,Purugly    
BST 117,bPokemon,Stoutland V   
BST 118,bPokemon,Bouffalant    
BST 119,bPokemon,Drampa    
BST 120,bPokemon,Indeedee    
BST 121,Supporter,Bruno    
BST 122,Item,Camping Gear   
BST 123,Supporter,Cheryl    
BST 124,Item,Energy Recycler   
BST 125,Item,Escape Rope   
BST 126,Item,Exp. Share   
BST 127,Item,Fan of Waves  
BST 128,Supporter,Korrina’s Focus   
BST 129,Item,Level Ball   
BST 130,Supporter,Phoebe    
BST 131,Item,Rapid Strike Scroll of Swirls
BST 132,Supporter,Rapid Strike Style Mustard 
BST 133,Item,Single Strike Scroll of Scorn
BST 134,Supporter,Single Strike Style Mustard 
BST 135,Supporter,Sordward & Shielbert  
BST 136,Item,Tool Jammer   
BST 137,Stadium,Tower of Darkness  
BST 138,Stadium,Tower of Waters  
BST 139,Item,Urn of Vitality  
BST 140,sEnergy,Rapid Strike Energy  
BST 141,sEnergy,Single Strike Energy  
BST 142,bPokemon,Kricketune V   
BST 143,bPokemon,Flapple V   
BST 144,bPokemon,Victini V   
BST 145,bPokemon,Empoleon V   
BST 146,bPokemon,Empoleon V   
BST 147,bPokemon,Tapu Koko V  
BST 148,bPokemon,Mimikyu V   
BST 149,bPokemon,Necrozma V   
BST 150,bPokemon,Single Strike Urshifu V 
BST 151,bPokemon,Single Strike Urshifu V 
BST 152,bPokemon,Rapid Strike Urshifu V 
BST 153,bPokemon,Rapid Strike Urshifu V 
BST 154,bPokemon,Tyranitar V   
BST 155,bPokemon,Tyranitar V   
BST 156,bPokemon,Corviknight V   
BST 157,bPokemon,Stoutland V   
BST 158,Supporter,Bruno    
BST 159,Supporter,Cheryl    
BST 160,Supporter,Korrina’s Focus   
BST 161,Supporter,Phoebe    
BST 162,Supporter,Rapid Strike Style Mustard 
BST 163,Supporter,Single Strike Style Mustard 
SHF 1,bPokemon,Yanma  
SHF 2,ePokemon,Yanmega  
SHF 3,bPokemon,Celebi  
SHF 4,bPokemon,Cacnea  
SHF 5,bPokemon,Tropius  
SHF 6,bPokemon,Rowlet  
SHF 7,ePokemon,Dartrix  
SHF 8,ePokemon,Decidueye  
SHF 9,bPokemon,Dhelmise V 
SHF 10,ePokemon,Dhelmise VMAX 
SHF 11,bPokemon,Grookey  
SHF 12,ePokemon,Thwackey  
SHF 13,ePokemon,Rillaboom  
SHF 14,bPokemon,Gossifleur  
SHF 15,ePokemon,Eldegoss  
SHF 16,bPokemon,Zarude  
SHF 17,bPokemon,Reshiram  
SHF 18,bPokemon,Cinderace V 
SHF 19,ePokemon,Cinderace VMAX 
SHF 20,bPokemon,Horsea  
SHF 21,bPokemon,Kyogre  
SHF 22,bPokemon,Buizel  
SHF 23,ePokemon,Floatzel  
SHF 24,bPokemon,Manaphy  
SHF 25,bPokemon,Volcanion  
SHF 26,bPokemon,Chewtle  
SHF 27,ePokemon,Drednaw  
SHF 28,bPokemon,Cramorant  
SHF 29,bPokemon,Snom  
SHF 30,ePokemon,Frosmoth  
SHF 31,bPokemon,Shinx  
SHF 32,ePokemon,Luxio  
SHF 33,ePokemon,Luxray  
SHF 34,bPokemon,Rotom  
SHF 35,bPokemon,Morpeko  
SHF 36,bPokemon,Morpeko  
SHF 37,bPokemon,Morpeko V 
SHF 38,ePokemon,Morpeko VMAX 
SHF 39,bPokemon,Indeedee V 
SHF 40,bPokemon,Trapinch  
SHF 41,bPokemon,Koffing  
SHF 42,ePokemon,Galarian Weezing 
SHF 43,bPokemon,Spinarak  
SHF 44,bPokemon,Crobat V 
SHF 45,ePokemon,Crobat VMAX 
SHF 46,bPokemon,Yveltal  
SHF 47,bPokemon,Nickit  
SHF 48,ePokemon,Thievul  
SHF 49,bPokemon,Cufant  
SHF 50,bPokemon,Ditto V 
SHF 51,ePokemon,Ditto VMAX 
SHF 52,bPokemon,Eevee  
SHF 53,bPokemon,Greedent V 
SHF 54,bPokemon,Cramorant V 
SHF 55,ePokemon,Cramorant VMAX 
SHF 56,bPokemon,Indeedee  
SHF 57,Supporter,Ball Guy 
SHF 58,Supporter,Boss’s Orders 
SHF 59,Supporter,Gym Trainer 
SHF 60,Supporter,Professor’s Research 
SHF 61,Item,Rusted Shield 
SHF 62,Item,Rusted Sword 
SHF 63,Item,Team Yell Towel
SHF 64,bPokemon,Alcremie V 
SHF 65,Supporter,Ball Guy 
SHF 66,Supporter,Bird Keeper 
SHF 67,Supporter,Cara Liss 
SHF 68,Supporter,Gym Trainer 
SHF 69,Supporter,Piers  
SHF 70,Supporter,Poké Kid 
SHF 71,Supporter,Rose  
SHF 72,Supporter,Skyla  
SHF 73,ePokemon,Alcremie VMAX 
